tar-fs; 2; 0; 14; 2; 1,1; 1; 2; 0 (0) ; 10; 9 (11) ; 0
memory-fs; 0; 4; 13; 0; 0,0; 7; 0; 6 (2) ; 0; 13 (8) ; 4
get-repository-url; 0; 1; 8; 0; 0,0; 3; 0; 1 (0) ; 1; 6 (5) ; 2
tcppubsub; 2; 2; 11; 4; 0,0; 5; 2; 4 (2) ; 6; 6 (7) ; 2
Node.CLI-Progress; 21; 9; 39; 0; 0,0; 28; 5; 20 (11) ; 21; 26 (22) ; 0
through; 0; 1; 13; 0; 0,0; 5; 0; 1 (0) ; 0; 13 (5) ; 0
bit-twiddle; 21; 0; 6; 0; 0,0; 0; 21; 0 (0) ; 19; 3 (2) ; 4
fs-write-stream-atomic; 0; 1; 33; 15; 7,6; 0; 0; 1 (0) ; 21; 25 (11) ; 12
unbzip2-stream; 0; 3; 24; 0; 0,0; 7; 0; 3 (0) ; 5; 19 (9) ; 0
min-req-promise; 6; 0; 6; 0; 0,0; 1; 6; 0 (0) ; 5; 4 (5) ; 0
hull; 2; 17; 23; 3; 0,0; 1; 2; 30 (13) ; 2; 22 (18) ; 0
